City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,shiprock,36.7855,-108.687,307.34,21,22,3.71,US,2023-07-10 03:00:00
99,margaret river,-33.95,115.0667,289.93,75,20,7.75,AU,2023-07-10 03:00:00
100,kailua-kona,19.6406,-155.9956,299.55,72,75,3.73,US,2023-07-10 03:00:00
101,enewetak,11.3474,162.3373,301.22,77,100,6.41,MH,2023-07-10 03:00:00
102,lautoka,-17.6167,177.4667,302.07,54,20,2.53,FJ,2023-07-10 03:00:00
103,codrington,-38.2667,141.9667,286.69,76,100,7.24,AU,2023-07-10 03:00:00
104,arraial do cabo,-22.9661,-42.0278,294.08,82,100,2.48,BR,2023-07-10 03:00:00
105,benghazi,32.1167,20.0667,297.73,77,0,7.2,LY,2023-07-10 03:00:00
106,crescent city,41.756,-124.2018,288.28,82,0,1.78,US,2023-07-10 03:00:00
107,sitka,57.0531,-135.33,288.09,67,20,3.39,US,2023-07-10 03:00:00
108,mikuni,36.2171,136.1519,305.1,81,100,4.23,JP,2023-07-10 03:00:00
109,cabo san lucas,22.8909,-109.9124,302.3,74,20,5.39,MX,2023-07-10 03:00:00
110,magadan,59.5667,150.8,285.67,84,100,3.83,RU,2023-07-10 03:00:00
111,safi,32.1667,-8.8333,293.7,66,0,3.97,MA,2023-07-10 03:00:00
112,tolanaro,-25.0319,46.9987,292.74,94,40,1.22,MG,2023-07-10 03:00:00
113,nagqu,31.5,92.0,286.69,61,100,2.82,CN,2023-07-10 03:00:00
114,ilulissat,69.2167,-51.1,281.16,71,100,0.68,GL,2023-07-10 03:00:00
115,invercargill,-46.4,168.35,283.74,75,27,1.59,NZ,2023-07-10 03:00:00
116,tommot,58.9564,126.2925,296.18,44,12,1.12,RU,2023-07-10 03:00:00
117,hadibu,12.65,54.0333,298.33,80,63,8.97,YE,2023-07-10 03:00:00
118,gaalkacyo,6.7697,47.4308,297.53,66,85,8.55,SO,2023-07-10 03:00:00
119,nantucket,41.2835,-70.0995,292.96,100,100,5.06,US,2023-07-10 03:00:00
120,udachny,66.4167,112.4,300.07,36,2,10.17,RU,2023-07-10 03:00:00
121,lesnoy,57.6198,63.0784,296.1,72,93,1.94,RU,2023-07-10 03:00:00
122,itoman,26.1247,127.6694,304.23,74,40,4.2,JP,2023-07-10 03:00:00
123,bambanglipuro,-7.95,110.2833,301.22,74,21,4.05,ID,2023-07-10 03:00:00
124,guerrero negro,27.9769,-114.0611,291.44,82,4,6.65,MX,2023-07-10 03:00:00
125,east london,-33.0153,27.9116,286.03,66,56,6.34,ZA,2023-07-10 03:00:00
126,thief river falls,48.1191,-96.1812,295.11,88,20,4.59,US,2023-07-10 03:00:00
127,smithers,54.7804,-127.1743,298.33,53,75,2.27,CA,2023-07-10 03:00:00
128,anbu,23.449,116.6809,306.3,62,20,3.11,CN,2023-07-10 03:00:00
129,weno,7.4515,151.8468,303.12,79,100,2.5,FM,2023-07-10 03:00:00
130,tatishchevo,51.6703,45.5953,294.96,79,67,4.01,RU,2023-07-10 03:00:00
131,el porvenir,13.7617,-87.3458,298.78,74,64,2.67,HN,2023-07-10 03:00:00
132,minot,48.2325,-101.2963,298.27,57,0,2.0,US,2023-07-10 03:00:00
133,kuroiso,36.9667,140.05,304.49,63,22,1.3,JP,2023-07-10 03:00:00
134,urumqi,43.801,87.6005,296.18,78,0,5.15,CN,2023-07-10 03:00:00
135,kakata,6.53,-10.3517,296.64,97,100,1.01,LR,2023-07-10 03:00:00
136,machali,-34.1833,-70.6667,281.97,71,13,1.41,CL,2023-07-10 03:00:00
137,antsiranana,-12.2787,49.2917,295.24,82,11,6.57,MG,2023-07-10 03:00:00
138,yellowknife,62.456,-114.3525,290.09,48,100,5.61,CA,2023-07-10 03:00:00
139,kaihua,23.3687,104.28,298.39,67,56,4.84,CN,2023-07-10 03:00:00
140,arkhangel'sk,64.5401,40.5433,280.48,68,12,3.32,RU,2023-07-10 03:00:00
141,badger,64.8,-147.5333,297.31,43,0,1.64,US,2023-07-10 03:00:00
142,mountain home,43.133,-115.6912,305.76,23,0,3.56,US,2023-07-10 03:00:00
143,sabzevar,36.2126,57.6819,301.17,17,0,5.65,IR,2023-07-10 03:00:00
144,santiago de la pena,20.95,-97.4,300.58,84,6,3.34,MX,2023-07-10 03:00:00
145,bamboo flat,11.7,92.7167,301.2,83,75,4.48,IN,2023-07-10 03:00:00
146,escarcega,18.6089,-90.7454,300.08,70,16,1.75,MX,2023-07-10 03:00:00
147,monte patria,-30.6919,-70.9467,287.25,40,100,0.38,CL,2023-07-10 03:00:00
148,nev'yansk,57.4953,60.2112,294.94,80,59,0.85,RU,2023-07-10 03:00:00
149,mahajanga,-15.7167,46.3167,294.33,88,20,2.58,MG,2023-07-10 03:00:00
150,dalandzadgad,43.5708,104.425,300.73,29,97,3.76,MN,2023-07-10 03:00:00
151,zeya,53.75,127.2667,298.15,25,0,3.76,RU,2023-07-10 03:00:00
152,jayapura,-2.5333,140.7,301.81,78,100,1.06,ID,2023-07-10 03:00:00
153,west island,-12.1568,96.8225,300.14,61,100,8.81,CC,2023-07-10 03:00:00
154,crane,31.3974,-102.3501,306.72,35,13,7.73,US,2023-07-10 03:00:00
155,port lincoln,-34.7333,135.8667,289.37,61,30,8.86,AU,2023-07-10 03:00:00
156,homer,59.6425,-151.5483,285.77,63,100,4.32,US,2023-07-10 03:00:00
157,veinticinco de mayo,-35.4323,-60.1727,282.47,91,14,2.35,AR,2023-07-10 03:00:00
158,ancud,-41.8697,-73.8203,279.18,82,29,0.84,CL,2023-07-10 03:00:00
159,bikenibeu village,1.3673,173.1241,302.13,79,75,4.09,KI,2023-07-10 03:00:00
160,cide,41.8921,33.0044,294.25,77,99,2.81,TR,2023-07-10 03:00:00
161,chonchi,-42.6128,-73.8092,278.22,89,42,0.95,CL,2023-07-10 03:00:00
162,mammoth lakes,37.6485,-118.9721,290.74,45,0,2.89,US,2023-07-10 03:00:00
163,kolobrzeg,54.1757,15.5834,289.79,62,98,4.13,PL,2023-07-10 03:00:00
164,kidal,18.4411,1.4078,302.44,48,95,1.73,ML,2023-07-10 03:00:00
165,port saint john's,-31.6229,29.5448,286.22,71,90,8.22,ZA,2023-07-10 03:00:00
166,tazovsky,67.4667,78.7,281.34,66,90,5.09,RU,2023-07-10 03:00:00
167,saldanha,-33.0117,17.9442,282.15,72,0,3.6,ZA,2023-07-10 03:00:00
168,bakanas,44.8081,76.2772,301.22,28,0,4.66,KZ,2023-07-10 03:00:00
169,nuuk,64.1835,-51.7216,284.49,76,75,1.59,GL,2023-07-10 03:00:00
170,mejit,10.2753,170.8646,301.43,78,62,7.74,MH,2023-07-10 03:00:00
171,sarakhs,36.5449,61.1577,303.84,17,0,0.87,IR,2023-07-10 03:00:00
172,yanchep,-31.55,115.6833,290.58,58,76,4.65,AU,2023-07-10 03:00:00
173,kerikeri,-35.2268,173.9474,285.21,91,100,3.39,NZ,2023-07-10 03:00:00
174,kavaratti,10.5669,72.642,301.24,76,100,7.59,IN,2023-07-10 03:00:00
175,qaqortoq,60.7167,-46.0333,282.22,71,59,1.29,GL,2023-07-10 03:00:00
176,atafu village,-8.5421,-172.5159,301.65,78,100,7.14,TK,2023-07-10 03:00:00
177,mahibadhoo,3.7833,72.9667,301.88,66,78,3.92,MV,2023-07-10 03:00:00
178,newport,51.5877,-2.9984,286.76,90,94,3.47,GB,2023-07-10 03:00:00
179,jiagedaqi,50.4167,124.1167,300.1,23,30,4.28,CN,2023-07-10 03:00:00
180,kars,40.602,43.095,285.79,100,75,1.64,TR,2023-07-10 03:00:00
181,khash,28.2211,61.2158,300.53,16,0,1.49,IR,2023-07-10 03:00:00
182,tebessa,35.4042,8.1242,302.4,31,0,1.26,DZ,2023-07-10 03:00:00
183,pangody,65.85,74.4859,284.63,79,100,0.72,RU,2023-07-10 03:00:00
184,guangyuan,32.442,105.823,303.56,69,92,2.77,CN,2023-07-10 03:00:00
185,longyearbyen,78.2186,15.6401,280.25,70,75,1.26,SJ,2023-07-10 03:00:00
186,san luis de la loma,17.2706,-100.8939,299.14,93,100,0.92,MX,2023-07-10 03:00:00
187,qui nhon,13.7667,109.2333,303.8,62,51,3.03,VN,2023-07-10 03:00:00
188,paita,-5.0892,-81.1144,295.34,84,8,6.94,PE,2023-07-10 03:00:00
189,san fernando de apure,7.8878,-67.4724,296.97,93,17,1.28,VE,2023-07-10 03:00:00
190,cockburn town,21.4612,-71.1419,301.65,84,55,9.08,TC,2023-07-10 03:00:00
191,alice springs,-23.7,133.8833,289.48,55,1,6.61,AU,2023-07-10 03:00:00
192,shahrud,36.4182,54.9763,299.26,17,0,1.52,IR,2023-07-10 03:00:00
193,peniche,39.3558,-9.3811,291.22,93,0,7.06,PT,2023-07-10 03:00:00
194,dunedin,-45.8742,170.5036,285.82,66,100,0.84,NZ,2023-07-10 03:00:00
195,hobyo,5.3505,48.5268,298.65,74,68,9.72,SO,2023-07-10 03:00:00
196,port alfred,-33.5906,26.891,285.96,73,86,6.38,ZA,2023-07-10 03:00:00
197,igrim,63.1906,64.4162,287.72,76,100,4.24,RU,2023-07-10 03:00:00
198,charlottetown,46.2352,-63.1267,294.03,90,75,3.35,CA,2023-07-10 03:00:00
199,miandoab,36.9694,46.1027,295.14,34,0,2.17,IR,2023-07-10 03:00:00
200,yigo village,13.5361,144.8886,302.46,70,20,7.99,GU,2023-07-10 03:00:00
201,kapa'a,22.0752,-159.319,300.08,71,40,5.88,US,2023-07-10 03:00:00
202,igarka,67.4667,86.5833,285.62,64,100,4.98,RU,2023-07-10 03:00:00
203,ishigaki,24.3448,124.1572,305.22,70,40,5.68,JP,2023-07-10 03:00:00
204,lerwick,60.1545,-1.1494,286.89,94,100,3.34,GB,2023-07-10 03:00:00
205,harper,4.375,-7.7169,298.07,87,100,4.29,LR,2023-07-10 03:00:00
206,majenang,-7.2975,108.7642,303.52,66,39,0.36,ID,2023-07-10 03:00:00
207,batarasa,8.6617,117.6222,303.28,66,22,1.15,PH,2023-07-10 03:00:00
208,kiunga,-6.1219,141.2906,299.59,88,100,2.49,PG,2023-07-10 03:00:00
209,gizo,-8.103,156.8419,301.29,79,92,4.46,SB,2023-07-10 03:00:00
210,axim,4.8699,-2.2405,297.02,91,97,2.34,GH,2023-07-10 03:00:00
211,ushuaia,-54.8,-68.3,275.96,81,75,1.53,AR,2023-07-10 03:00:00
212,sabya,17.1495,42.6254,305.94,48,96,0.21,SA,2023-07-10 03:00:00
213,comayagua,14.45,-87.6333,296.09,81,92,1.26,HN,2023-07-10 03:00:00
214,pisco,-13.7,-76.2167,292.18,82,0,0.94,PE,2023-07-10 03:00:00
215,amga,60.8953,131.9608,293.67,52,98,2.75,RU,2023-07-10 03:00:00
216,hermanus,-34.4187,19.2345,283.55,66,73,2.14,ZA,2023-07-10 03:00:00
217,gangtok,27.3333,88.6167,295.0,86,100,1.44,IN,2023-07-10 03:00:00
218,san andres,12.5847,-81.7006,302.16,84,20,8.62,CO,2023-07-10 03:00:00
219,fort mcmurray,56.7268,-111.381,294.88,32,0,2.61,CA,2023-07-10 03:00:00
220,tamanrasset,22.785,5.5228,300.1,13,2,9.28,DZ,2023-07-10 03:00:00
221,gaiman,-43.2897,-65.4929,276.84,95,100,2.04,AR,2023-07-10 03:00:00
222,manaure,11.7751,-72.4445,301.73,70,15,6.9,CO,2023-07-10 03:00:00
223,ciudad acuna,29.3232,-100.9522,308.84,40,0,4.15,MX,2023-07-10 03:00:00
224,saint-francois,46.4154,3.9054,294.84,83,0,1.38,FR,2023-07-10 03:00:00
225,revda,56.801,59.9303,296.78,64,97,1.59,RU,2023-07-10 03:00:00
226,aswan,24.0934,32.907,302.76,23,0,4.53,EG,2023-07-10 03:00:00
227,west bay,19.3667,-81.4167,302.54,80,20,5.64,KY,2023-07-10 03:00:00
228,urucui,-7.2294,-44.5561,297.92,47,0,1.83,BR,2023-07-10 03:00:00
229,juneau,58.3019,-134.4197,294.15,46,40,1.28,US,2023-07-10 03:00:00
230,wagar,16.1525,36.2032,302.68,55,100,7.8,SD,2023-07-10 03:00:00
231,yemetsk,63.4721,41.7941,281.69,74,84,3.38,RU,2023-07-10 03:00:00
232,colares,38.7992,-9.4469,291.68,74,0,8.0,PT,2023-07-10 03:00:00
233,maricopa,33.0581,-112.0476,312.11,13,0,5.23,US,2023-07-10 03:00:00
234,kamina,-8.7386,24.9906,288.63,57,0,1.8,CD,2023-07-10 03:00:00
235,gravenhurst,44.9168,-79.3663,289.99,82,0,2.23,CA,2023-07-10 03:00:00
236,otelu rosu,45.5333,22.3667,289.13,66,0,1.47,RO,2023-07-10 03:00:00
237,port mathurin,-19.6833,63.4167,296.83,61,59,9.32,MU,2023-07-10 03:00:00
238,tofol,5.3248,163.0078,305.03,66,75,4.32,FM,2023-07-10 03:00:00
239,iskateley,67.6803,53.1512,281.88,75,95,3.65,RU,2023-07-10 03:00:00
240,piti village,13.4626,144.6933,303.0,76,20,7.95,GU,2023-07-10 03:00:00
241,katabu,-4.9333,122.5167,303.2,53,16,1.66,ID,2023-07-10 03:00:00
242,monrovia,6.3005,-10.7969,297.8,88,100,4.38,LR,2023-07-10 03:00:00
243,castillos,-34.1667,-53.8333,286.16,88,99,2.0,UY,2023-07-10 03:00:00
244,urussanga,-28.5178,-49.3208,287.77,96,100,1.21,BR,2023-07-10 03:00:00
245,labasa,-16.4167,179.3833,300.79,56,32,2.3,FJ,2023-07-10 03:00:00
246,fale old settlement,-9.3852,-171.2468,301.42,79,100,7.19,TK,2023-07-10 03:00:00
247,imbituba,-28.24,-48.6703,293.07,92,100,5.24,BR,2023-07-10 03:00:00
248,usinsk,65.9939,57.5281,280.1,86,100,4.62,RU,2023-07-10 03:00:00
249,kolonia town,6.964,158.206,306.15,62,75,2.9,FM,2023-07-10 03:00:00
250,tura,25.5198,90.2201,300.41,88,100,2.72,IN,2023-07-10 03:00:00
251,touros,-5.1989,-35.4608,297.62,86,2,4.07,BR,2023-07-10 03:00:00
252,coquimbo,-29.9533,-71.3436,286.98,87,75,0.34,CL,2023-07-10 03:00:00
253,dodge city,37.7528,-100.0171,294.76,73,0,3.29,US,2023-07-10 03:00:00
254,egilsstadir,65.2653,-14.3948,285.78,93,100,2.22,IS,2023-07-10 03:00:00
255,tsiombe,-25.3,45.4833,292.47,67,55,1.42,MG,2023-07-10 03:00:00
256,olonkinbyen,70.9221,-8.7187,275.62,95,100,10.65,SJ,2023-07-10 03:00:00
257,juba,4.8517,31.5825,293.3,94,100,1.22,SS,2023-07-10 03:00:00
258,la'ie,21.6477,-157.9253,300.2,68,91,7.51,US,2023-07-10 03:00:00
259,palikir - national government center,6.9248,158.1611,305.56,62,75,3.01,FM,2023-07-10 03:00:00
260,nimigea de sus,47.2833,24.3167,287.1,87,5,1.15,RO,2023-07-10 03:00:00
261,tabas,33.5959,56.9244,304.12,15,0,0.94,IR,2023-07-10 03:00:00
262,yuzhno-kurilsk,44.0306,145.8556,292.45,80,96,1.3,RU,2023-07-10 03:00:00
263,tizi-n-tleta,36.5457,4.0571,304.57,23,93,4.02,DZ,2023-07-10 03:00:00
264,cooper's town,26.8667,-77.5167,302.58,75,66,5.23,BS,2023-07-10 03:00:00
265,luderitz,-26.6481,15.1594,285.28,44,2,6.62,NA,2023-07-10 03:00:00
266,general acha,-37.377,-64.6043,281.56,45,34,3.17,AR,2023-07-10 03:00:00
267,chifeng,42.2683,118.9636,303.19,33,12,2.2,CN,2023-07-10 03:00:00
268,troitskoye,52.9821,84.6757,291.29,83,80,3.38,RU,2023-07-10 03:00:00
269,sao joao da barra,-21.6403,-41.0511,293.83,86,100,2.24,BR,2023-07-10 03:00:00
270,mont-dore,-22.2833,166.5833,296.48,99,10,3.83,NC,2023-07-10 03:00:00
271,illizi,26.4833,8.4667,304.09,19,100,2.09,DZ,2023-07-10 03:00:00
272,el granada,37.5027,-122.4694,288.48,84,100,2.64,US,2023-07-10 03:00:00
273,flying fish cove,-10.4217,105.6791,298.97,94,100,8.19,CX,2023-07-10 03:00:00
274,jiamusi,46.8333,130.35,298.37,75,99,3.63,CN,2023-07-10 03:00:00
275,bondo,3.8146,23.6866,292.45,96,61,0.74,CD,2023-07-10 03:00:00
276,naze,28.3667,129.4833,302.66,74,3,2.72,JP,2023-07-10 03:00:00
277,nar'yan-mar,67.6713,53.087,281.9,76,95,3.65,RU,2023-07-10 03:00:00
278,altpinar,39.2042,32.7478,286.86,89,54,5.14,TR,2023-07-10 03:00:00
279,kampong chhnang,12.1667,104.55,304.3,60,93,3.37,KH,2023-07-10 03:00:00
280,newman,37.3138,-121.0208,296.7,46,0,2.69,US,2023-07-10 03:00:00
281,fougamou,-1.2154,10.5838,294.09,91,53,0.8,GA,2023-07-10 03:00:00
282,namie,37.4833,141.0,304.11,67,15,0.67,JP,2023-07-10 03:00:00
283,jamestown,42.097,-79.2353,291.94,88,100,1.72,US,2023-07-10 03:00:00
284,severnoye,56.3491,78.3619,294.85,52,41,2.12,RU,2023-07-10 03:00:00
285,remire-montjoly,4.9167,-52.2667,299.68,100,0,5.39,GF,2023-07-10 03:00:00
286,askoy,60.4092,5.226,290.91,53,0,2.64,NO,2023-07-10 03:00:00
287,teknaf,20.8624,92.3058,302.04,78,99,3.38,BD,2023-07-10 03:00:00
288,tambura,5.6,27.4667,292.16,96,13,0.99,SS,2023-07-10 03:00:00
289,letlhakeng,-24.0944,25.0298,274.24,44,0,5.32,BW,2023-07-10 03:00:00
290,tual,-5.6667,132.75,299.61,86,99,9.85,ID,2023-07-10 03:00:00
291,riversdale,18.1659,-76.9642,300.43,87,27,0.48,JM,2023-07-10 03:00:00
292,aasiaat,68.7098,-52.8699,277.91,96,100,2.59,GL,2023-07-10 03:00:00
293,manokwari,-0.8667,134.0833,301.63,69,39,2.53,ID,2023-07-10 03:00:00
294,tharangambadi,11.0319,79.8528,300.98,74,100,2.37,IN,2023-07-10 03:00:00
295,puerto aysen,-45.4,-72.7,277.56,98,100,0.88,CL,2023-07-10 03:00:00
296,kedougou,12.5579,-12.1743,298.88,83,24,1.43,SN,2023-07-10 03:00:00
297,tarawa,1.419,172.984,302.2,79,75,4.16,KI,2023-07-10 03:00:00
298,sirte,31.2089,16.5887,298.36,72,0,3.16,LY,2023-07-10 03:00:00
299,palmer,42.1584,-72.3287,294.46,83,100,1.12,US,2023-07-10 03:00:00
300,severomorsk,69.0689,33.4162,280.94,75,19,1.3,RU,2023-07-10 03:00:00
301,assai,-23.3733,-50.8414,291.07,95,100,1.77,BR,2023-07-10 03:00:00
302,karyes,37.3,22.5,291.04,61,0,1.94,GR,2023-07-10 03:00:00
